"","Subject","Age","Gender","Date","TrialNumber","Mesh","Function","Name","Name_learnt","Task","SuccessTask","RTMovement","RTGrasping","RTAction","TrialBlock","RTMovementGrasping","RTGraspingAction","RTMovement.c","RTMovement.z","RTGrasping.c","RTGrasping.z","RTAction.c","RTAction.z","RTMovementGrasping.c","RTMovementGrasping.z","RTGraspingAction.c","RTGraspingAction.z"
"38",38,20,"Male",7112018,2,"controllerRenderer_G","SNOWING","NoName3","No","MOVE","True",0.4222222,1.933337,1.911115,1,1.511,-0.022,-0.097,-0.442,0.255,0.406,-0.749,-0.342,0.352,0.581,-1.004,-0.519
"39",39,20,"Female",8112018,2,"controllerRenderer_E","SNOWING","SNI","Yes","MOVE","True",0.4555556,2.222224,2.333334,1,1.767,0.111,-0.064,-0.291,0.544,0.866,-0.327,-0.149,0.608,1.003,-0.871,-0.451
"40",40,19,"Male",8112018,2,"controllerRenderer_E","SNOWING","LUM","Yes","USE","True",0.4888889,1.966671,2.855552,1,1.478,0.889,-0.031,-0.139,0.288,0.459,0.195,0.089,0.319,0.526,-0.093,-0.048
"41",1922222,20,"Female",9102018,2,"controllerRenderer_E","VANISHING","UNT","Yes","USE","True",0.5666668,3.288882,4.688886,1,2.722,1.4,0.047,0.214,1.61,2.565,2.029,0.926,1.563,2.577,0.419,0.216
"42",1,25,"Female",19092018,3,"controllerRenderer_A","VANISHING","NoName2","No","USE","True",0.977779,2.5,3.177772,1,1.522,0.678,0.458,2.081,0.822,1.308,0.517,0.236,0.364,0.599,-0.305,-0.157
"43",3,19,"Male",24092018,3,"controllerRenderer_G","BLACKHOLE","SNI","Yes","MOVE","True",0.4666667,1.911115,2.055559,1,1.444,0.144,-0.053,-0.24,0.233,0.371,-0.605,-0.276,0.286,0.47,-0.838,-0.434
"44",4,19,"Female",25092018,3,"controllerRenderer_E","CREATING","NoName1","No","MOVE","True",0.8888899,3.466659,3.455548,1,2.578,-0.011,0.369,1.677,1.788,2.848,0.795,0.363,1.419,2.34,-0.993,-0.514
"45",6,35,"Female",26092018,3,"controllerRenderer_C","BLACKHOLE","LUM","Yes","MOVE","True",0.6222225,1.433336,1.500003,1,0.811,0.067,0.103,0.466,-0.245,-0.39,-1.16,-0.53,-0.348,-0.574,-0.915,-0.473
"46",7,19,"Female",26092018,3,"controllerRenderer_C","ANTIGRAVITY","SNI","Yes","MOVE","True",0.6000003,1.544447,1.733337,1,0.944,0.189,0.08,0.365,-0.134,-0.213,-0.927,-0.423,-0.214,-0.354,-0.793,-0.41
"47",10,19,"Female",2102018,3,"controllerRenderer_G","VANISHING","SNI","Yes","USE","True",0.5555557,1.844448,3.711101,1,1.289,1.867,0.036,0.163,0.166,0.264,1.051,0.48,0.13,0.215,0.885,0.458
"48",11,19,"Female",3102018,3,"controllerRenderer_E","CREATING","SNI","Yes","MOVE","True",1.08889,2.17778,2.755553,1,1.089,0.578,0.569,2.586,0.499,0.795,0.095,0.043,-0.07,-0.115,-0.404,-0.209
"49",12,19,"Female",3102018,3,"controllerRenderer_I","VANISHING","UNT","Yes","MOVE","True",0.3888889,1.322224,1.488891,1,0.933,0.167,-0.131,-0.594,-0.356,-0.567,-1.171,-0.535,-0.225,-0.372,-0.815,-0.422
"50",15,20,"Female",5102018,3,"controllerRenderer_E","ANTIGRAVITY","NoName1","No","USE","True",0.4555556,1.733337,2.488889,1,1.278,0.756,-0.064,-0.291,0.055,0.087,-0.171,-0.078,0.119,0.196,-0.226,-0.117
"51",16,20,"Female",8102018,3,"controllerRenderer_E","ANTIGRAVITY","SNI","Yes","USE","True",0.4555556,1.344447,1.811115,1,0.889,0.467,-0.064,-0.291,-0.334,-0.532,-0.849,-0.388,-0.27,-0.445,-0.515,-0.266
"52",20,18,"Female",9102018,3,"controllerRenderer_A","VANISHING","LUM","Yes","USE","True",0.8888899,2.666665,4.81111,1,1.778,2.144,0.369,1.677,0.988,1.574,2.151,0.982,0.619,1.021,1.163,0.601
"53",22,18,"Male",11102018,3,"controllerRenderer_G","ANTIGRAVITY","UNT","Yes","MOVE","True",0.5111111,1.611114,1.66667,1,1.1,0.056,-0.008,-0.038,-0.067,-0.107,-0.994,-0.454,-0.059,-0.097,-0.927,-0.479
"54",23,30,"Female",11102018,3,"controllerRenderer_B","VANISHING","NoName2","No","USE","True",0.8666676,3.066662,4.522217,1,2.2,1.456,0.347,1.576,1.388,2.211,1.862,0.85,1.041,1.717,0.474,0.245
"55",24,19,"Female",21102018,3,"controllerRenderer_I","CREATING","SNI","Yes","MOVE","True",0.5444446,1.511114,1.566669,1,0.967,0.056,0.025,0.113,-0.167,-0.266,-1.094,-0.499,-0.192,-0.316,-0.927,-0.479
